Blog	four	looking	second	available	here	music	until	example	want	feature	how	series	re	wasn	service	needed	project	person	saying	best	never	asked	much	life	worked	things	had	easy	possible	right	old	people	support	happy	full	inside	time	minute	team	along	love	working	following	most	such	data	so	years	course	didn	internet	million	quite	wrong	open	city	future	san	turned	note	take	ways	going	where	many	wants	bernardino	photos	former	single	technology	being	around	traffic	world	power	industry	favorite	image	her	am	having	original	tv	th	case	large	small	past	hours	social	via	company	learn	sense	huge	its	always	found	really	research	also	play	sometimes	set	see	last	whole	community	recent	amp	couple	d	continue	anything	into	line	posted	up	us	ago	results	send	try	video	let	great	makes	next	process	high	move	perfect	doing	could	start	system	haven	face	fact	bring	should	hope	stuff	email	ve	site	less	web	five	become	does	chance	worth	above	told	thursday	word	work	interview	after	order	office	production	then	them	network	another	do	away	terms	com	launched	photo	thanks	night	security	post	months	way	war	update	together	global	gun	guy	change	usually	live	car	december	heard	means	write	product	use	still	non	half	now	year	space	shows	care	couldn	size	than	online	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	aren	lot	building	since	month	very	learned	family	ask	takes	taken	history	help	soon	actually	ceo	android	beyond	event	issue	reason	put	american	behind	off	mobile	clear	latest	pretty	during	x	close	won	probably	both	whatever	else	look	while	used	user	game	some	step	visit	within	similar	e	go	facebook	click	camera	started	meet	control	links	software	including	front	keep	grow	exactly	need	able	she	problem	computer	state	key	well	page	twitter	home	he	stories	piece	star	friends	companies	likely	even	tips	ever	met	call	tell	room	give	answer	president	before	personal	better	weeks	went	side	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	hit	said	were	against	appeared	three	website	say	if	make	left	human	yes	yet	save	deal	dead	track	popular	super	down	pages	daily	finally	did	run	wait	making	may	man	maybe	talk	nbsp	group	interesting	rock	language	thing	think	first	long	little	anyone	paid	especially	shot	show	black	get	morning	enough	reading	across	according	mark	doesn	those	pay	same	running	money	either	trying	videos	general	again	students	important	u	public	search	two	share	needs	different	coming	through	someone	everyone	house	energy	hard	idea	done	least	part	believe	b	build	tool	services	fine	find	please	point	simple	simply	create	understand	bill	fun	itself	yesterday	spent	source	big	bit	google	often	back	entire	giving	others	later	themselves	watch	ll	day	text	taking	holiday	value	almost	center	thought	add	works	buy	minutes	special	starting	under	every	school	changes	would	phone	must	me	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	though	amazon	report	however	news	been	several	specific	everything	head	hear	check	no	focus	level	says	goes	iphone	today	thousands	information	happened	name	turn	place	given	any	ideas	sure	multiple	net	written	come	myself	good	week	without	when	seems	blog	there	follow	program	far	list	design	version	known	rather	short	might	wouldn	number	feel	story	store	kind	nothing	his	him	wrote	art	recently	attention	due	questions	customers	question	fast	called	nice	users	once	issues	apple	app	few	women	something	six	instead	choose	our	york	their	which	who	why	local	view	walk	perhaps	gets	other	know	because	lead	getting	own	apps	made	whether	book
plasticbag.org	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	4	1	0	0	0	3	0	0	0	0	1	0	2	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	1	5	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3	0	0	0	1	1	0	0	1	0	0	2	2	1	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	2	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	6	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	2	2	0	0	1	1	3	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	1	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0
Techdirt.	4	3	3	4	9	2	3	0	1	3	24	4	19	5	7	1	0	3	8	4	9	3	22	2	2	9	30	1	1	10	3	16	5	0	3	1	24	0	2	2	1	4	5	9	12	12	46	19	10	7	12	12	4	4	1	1	4	0	3	7	4	5	10	10	17	2	0	1	2	2	9	29	8	4	7	2	2	1	3	6	1	7	3	0	2	18	3	3	1	0	4	2	5	0	1	2	46	9	4	9	6	38	0	3	3	12	8	4	4	3	0	6	3	6	9	19	2	1	28	17	7	1	6	3	5	1	1	8	2	11	1	1	0	5	16	9	9	2	4	10	3	19	0	2	20	12	12	8	1	7	3	12	0	4	3	5	0	0	10	0	19	4	5	2	15	26	3	11	22	8	1	5	1	3	4	3	11	9	2	9	2	1	2	0	2	2	4	2	0	1	0	2	8	3	2	20	23	6	4	9	13	1	2	1	2	0	20	3	1	33	6	7	15	29	5	0	4	6	3	7	1	2	5	1	4	2	14	3	1	2	2	4	2	3	7	20	2	1	0	2	8	2	5	1	0	5	1	6	1	5	4	0	1	2	3	9	2	5	4	11	13	13	1	29	3	1	6	2	3	4	2	1	5	0	1	2	4	1	7	3	4	0	4	8	4	2	2	3	13	7	9	1	6	3	46	1	2	0	1	8	2	34	0	8	0	3	0	2	4	1	2	9	2	5	1	6	5	8	10	0	9	3	7	6	5	0	6	6	0	17	22	15	0	6	1	9	44	16	5	8	1	10	0	6	2	1	0	1	6	6	11	5	11	2	0	8	25	0	4	1	0	3	6	0	3	6	8	11	5	7	10	8	2	3	4	2	5	0	5	4	2	2	1	11	19	3	12	1	10	0	4	1	1	7	5	2	5	20	3	14	0	3	8	1	6	9	8	4	1	3	4	8	10	13	2	0	0	1	7	6	5	1	10	0	2	2	3	11	1	9	0	3	0	3	4	32	5	15	1	4	8	4	1	2	4	3	2	8	3	2	5	3	1	1	3	5	1	4	1	7	6	6	1	24	5	8	9	6	6	16	1	1	0	5	3	3	9	5	4	9	3	10	1	8	10	2	20	3	3	3	1	0	3	25	0	2	10	4	1	2	0	14	4	0	2	3	2	29	4	5	2	2	6	3	0	10	3	12	23	12	8	26	2	3	8	4	1	5	3	5	2	6	6	6	1	25	5	5	9	25	11	8	0	1	3	2	2	0	2	1	8	2	12	8	2	0	12	12	0	13	6	3	1	11	7	33	30	31	4	6	1	0	3	1	29	1	20	0	7	17	0	24	8	7
ThinkProgress	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	2	0	1	4	0	0	0	1	0	0	0	0	2	0	4	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	4	0	2	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	20	0	0	3	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	2	2	3	20	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	3	0	0	0	0	0	0	0	1	1	20	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	2	0	0	0	2	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	1	0	0	0	3	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
blog maverick	0	0	0	0	2	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	0	2	0	0	0	3	4	0	0	1	5	1	0	0	0	0	5	0	0	1	0	0	0	2	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	3	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	1	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	7	5	0	1	0	0	2	0	0	1	0	0	0	1	0	2	0	1	1	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	2	0	1	3	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0
Steve Pavlina's Personal Development Blog	0	0	0	0	1	0	0	0	3	0	1	9	1	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	3	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	4	4	0	0	0	1	1	10	1	0	27	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	2	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	10	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	10	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	8	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4
Topix Blog	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	3	0	3	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	1	1	3	0	1	0	1	1	0	0	3	3	0	0	0	0	0	0	0	1	3	3	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	3	0	2	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	1	3	0	0	0	2	1	0	0	0	6	0	3	0	0	1	7	0	1	0	0	1	0	0	0	0	1	0	0	0	0
kottke.org	3	1	4	0	8	3	3	1	6	3	21	3	9	0	0	1	1	2	0	9	5	1	7	10	0	5	7	1	0	4	8	8	0	1	6	3	13	0	3	2	2	1	2	9	5	4	14	18	1	5	0	0	0	4	0	0	6	0	0	3	2	0	6	0	6	0	0	2	0	0	1	2	7	0	17	1	0	3	2	4	3	0	1	5	1	2	0	1	5	2	1	15	4	1	5	1	8	1	2	4	0	12	2	2	4	14	8	2	0	1	4	1	1	1	2	11	1	0	12	1	3	0	0	3	48	3	2	2	5	2	4	1	4	6	2	2	4	1	0	0	0	4	0	2	0	3	2	3	1	4	1	4	0	2	2	0	0	0	4	1	3	0	1	2	3	11	2	3	7	2	2	1	2	1	1	2	0	1	2	8	0	9	0	0	6	1	2	0	4	1	1	1	6	1	1	4	5	1	0	7	8	19	5	1	0	0	1	0	2	4	3	0	2	6	4	2	2	1	1	7	1	1	1	1	5	1	3	0	3	0	0	2	1	2	0	5	0	0	1	0	3	0	3	1	5	1	0	2	4	1	4	6	0	3	1	2	0	0	2	7	5	0	1	1	0	0	1	4	1	3	0	0	5	2	0	3	0	0	1	0	1	0	1	0	2	1	3	1	3	0	4	1	3	1	25	2	3	9	0	0	0	6	0	4	0	0	0	1	2	0	0	4	1	0	1	3	2	0	4	2	0	0	2	7	4	1	2	3	2	6	7	1	1	2	0	6	19	7	3	1	2	1	0	1	1	0	3	3	1	0	0	0	8	1	2	3	0	2	3	2	240	0	2	0	1	8	3	11	8	3	3	0	1	2	6	2	3	1	0	2	3	3	0	3	2	0	5	1	3	0	1	2	2	2	0	2	0	0	0	6	0	1	0	1	3	3	3	0	3	0	4	2	2	1	0	2	2	0	0	1	0	0	0	3	0	0	0	5	2	1	0	2	0	3	2	0	2	4	2	0	0	3	0	1	5	5	0	2	1	0	0	2	2	0	3	1	1	2	1	2	11	2	2	11	0	0	12	6	2	9	0	2	0	3	2	1	1	1	1	7	1	1	3	1	3	7	8	3	0	2	2	0	0	7	1	3	3	0	0	3	0	8	0	0	0	1	1	2	0	1	1	1	1	5	1	4	5	2	12	2	0	6	4	3	0	5	1	1	1	2	3	6	1	0	2	4	0	0	2	21	3	2	2	4	0	2	0	0	1	5	4	1	0	5	1	0	1	4	2	5	2	4	0	4	0	18	11	7	8	1	0	2	2	2	9	5	7	2	2	6	0	6	0	11
43 Folders	5	2	8	5	28	0	15	0	26	1	60	0	48	2	3	3	3	8	11	14	26	1	37	32	5	55	26	5	5	24	10	54	3	6	7	2	46	3	2	1	15	7	2	41	6	3	75	16	2	8	3	0	5	6	4	0	8	2	3	4	10	5	7	20	20	3	0	0	0	6	3	17	10	2	13	7	1	10	0	17	14	11	2	4	1	3	3	2	8	4	1	1	2	11	4	7	9	20	1	77	0	27	6	15	3	18	13	4	0	2	11	7	45	4	14	21	3	15	45	21	3	2	3	18	14	17	14	5	3	2	0	1	2	16	24	11	4	3	5	9	0	16	20	27	11	40	2	16	10	4	12	5	3	5	1	6	0	3	59	9	10	8	0	0	25	22	4	10	74	7	3	17	0	2	13	5	0	2	4	36	0	4	3	0	0	33	13	3	8	3	0	2	11	3	4	11	20	9	9	41	14	1	0	27	6	0	36	1	1	22	3	4	5	24	2	5	19	43	4	8	8	4	39	3	5	2	29	3	4	9	4	0	0	30	5	14	0	0	2	4	1	5	3	2	2	13	1	7	0	11	2	4	2	10	8	8	13	7	5	10	6	0	2	28	4	4	2	1	3	21	1	2	0	2	2	3	2	1	8	3	10	2	8	21	1	29	15	0	0	2	24	4	4	6	39	2	0	1	5	2	4	50	5	26	2	3	17	8	4	2	0	13	4	27	1	2	4	1	0	2	8	7	1	46	47	11	6	18	3	14	16	4	0	3	1	21	59	45	2	4	13	6	2	2	1	0	2	2	9	1	4	6	13	6	1	11	15	7	14	22	1	0	2	1	0	33	31	29	21	28	14	3	8	2	4	1	50	7	15	13	0	0	3	18	27	3	9	4	5	7	10	0	0	10	2	13	0	1	0	10	4	4	7	1	7	7	8	2	0	16	6	10	11	17	9	6	2	3	3	4	10	16	21	7	11	0	14	0	3	6	1	2	1	25	7	2	19	25	1	3	4	5	1	6	37	16	4	1	1	3	13	0	10	1	0	5	7	5	5	20	12	0	4	20	1	1	82	3	7	29	4	13	0	2	8	5	7	13	2	14	2	2	1	0	1	1	31	2	2	12	1	8	2	37	3	3	13	10	3	13	2	6	2	3	5	7	3	38	3	10	0	0	16	5	8	26	11	12	30	2	5	33	0	0	7	3	10	3	2	8	3	16	4	9	7	6	0	9	7	28	12	2	3	1	9	2	0	3	3	2	3	15	5	4	0	1	8	13	0	23	4	4	2	35	1	19	45	70	32	0	4	0	3	13	22	40	57	2	11	13	5	28	14	25
Official Google Blog	3	6	6	8	14	9	4	2	11	1	19	1	67	0	1	2	16	2	0	7	4	1	13	5	2	14	3	5	3	4	7	48	9	4	4	3	20	3	9	3	5	13	1	17	5	13	42	12	3	2	14	16	0	0	15	7	4	1	2	1	10	3	3	17	15	0	0	15	0	1	16	7	22	3	38	6	3	5	3	6	1	1	1	1	2	0	7	3	10	5	1	1	6	10	3	1	15	5	4	4	4	23	3	0	4	15	11	1	8	0	5	2	7	10	0	18	2	26	32	11	5	0	2	5	5	8	10	5	10	0	10	2	4	2	8	6	4	1	0	2	7	2	7	0	0	38	5	0	13	6	2	1	2	0	3	0	2	0	25	0	6	2	1	0	7	17	3	6	16	2	0	8	3	6	5	4	0	2	5	13	2	5	10	3	0	0	3	1	3	2	4	3	3	0	7	15	15	1	2	22	24	3	1	0	2	2	34	9	1	10	3	0	5	26	2	3	4	2	2	10	2	1	5	2	7	6	8	1	7	1	4	2	2	34	3	1	5	8	2	0	1	2	5	0	3	7	23	0	1	3	2	1	1	1	2	4	0	1	18	7	4	4	0	15	7	9	4	1	2	7	0	1	10	3	3	2	0	3	2	3	1	0	2	7	3	2	3	5	1	2	4	0	1	3	1	7	0	8	3	2	0	25	7	3	0	1	2	3	7	2	5	7	1	12	5	0	3	9	1	4	3	1	4	13	13	0	0	2	2	0	14	1	0	7	3	5	17	29	4	1	2	3	1	3	4	0	6	1	5	9	1	1	4	5	1	8	6	1	2	6	16	5	0	0	5	0	4	19	8	7	7	0	1	0	4	6	23	2	4	0	18	2	0	2	8	3	3	1	1	1	1	3	1	2	18	2	14	0	21	4	5	10	5	8	19	3	11	2	20	1	0	1	1	11	1	0	7	1	2	0	16	1	2	3	2	6	3	0	0	2	1	3	7	4	2	131	1	9	1	2	1	2	2	6	21	32	3	4	18	0	0	5	0	4	4	1	0	9	7	2	7	3	2	3	11	1	10	3	1	19	0	9	5	6	7	5	5	7	21	13	4	1	0	1	2	2	14	2	1	3	4	1	5	13	3	1	0	5	0	29	2	9	1	3	7	6	2	5	7	4	3	0	0	4	0	4	9	5	22	0	1	24	0	4	8	5	1	3	3	3	1	5	1	1	3	8	3	1	1	5	1	0	5	2	1	0	4	1	1	4	4	0	4	2	3	0	11	11	7	3	0	0	2	63	2	52	14	17	7	5	15	2	0	0	13	2	6	2	3	10	2	9	8	0
Autoblog	1	1	0	0	0	0	0	0	3	0	1	7	0	0	0	0	0	0	0	3	0	0	0	3	0	1	2	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	2	10	0	0	0	2	0	0	0	0	4	0	2	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	4	0	0	1	0	0	0	0	4	0	0	0	6	0	1	0	3	1	0	0	0	40	0	0	0	1	0	0	1	41	0	10	0	0	4	2	0	0	0	0	15	0	2	0	2	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	6	3	2	0	0	2	0	40	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	3	0	0	9	0	0	0	0	1	40	4	0	0	2	2	0	7	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	4	0	0	2	0	0	6	0	3	0	0	0	0	8	3	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	1	2	40	0	0	0	2	1	0	0	2	0	0	0	0	6	0	0	3	0	3	0	0	1	0	0	3	4	0	0	160	0	0	0	0	0	2	1	0	2	0	0	0	0	12	0	7	0	0	40	1	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	4	1	1	0	41	0	0	0	8	0	0	0	0	0	0	0	1	6	0	0	0	0	0	3	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	2	0	0	0	0	0	0	0	3	2	0	0	1	0	2	0	0	1	6	3	2	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	3	0	3	0	0	3	0	0	0	0	0	0	0	1	0	0	4	47	0	2	0	0	0	0	0	0	0	4	0	3	1	2	1	0	0	1	0	0
